Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1961","1961","ha","435435","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1961","1961","hg/ha","31415","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1961","1961","tonnes","1367919","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1962","1962","ha","432097","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1962","1962","hg/ha","33308","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1962","1962","tonnes","1439216","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1963","1963","ha","402746","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1963","1963","hg/ha","31256","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1963","1963","tonnes","1258816","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1964","1964","ha","387957","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1964","1964","hg/ha","29292","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1964","1964","tonnes","1136399","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1965","1965","ha","377250","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1965","1965","hg/ha","31112","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1965","1965","tonnes","1173711","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1966","1966","ha","338713","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1966","1966","hg/ha","32700","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1966","1966","tonnes","1107600","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1967","1967","ha","356167","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1967","1967","hg/ha","35638","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1967","1967","tonnes","1269300","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1968","1968","ha","362476","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1968","1968","hg/ha","40025","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1968","1968","tonnes","1450800","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1969","1969","ha","357940","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1969","1969","hg/ha","39202","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1969","1969","tonnes","1403200","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1970","1970","ha","377288","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1970","1970","hg/ha","36338","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1970","1970","tonnes","1371000","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1971","1971","ha","386391","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1971","1971","hg/ha","40902","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1971","1971","tonnes","1580400","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1972","1972","ha","372110","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1972","1972","hg/ha","38467","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1972","1972","tonnes","1431400","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1973","1973","ha","351351","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1973","1973","hg/ha","36900","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1973","1973","tonnes","1296500","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1974","1974","ha","347988","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1974","1974","hg/ha","41407","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1974","1974","tonnes","1440900","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1975","1975","ha","338972","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1975","1975","hg/ha","40702","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1975","1975","tonnes","1379700","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1976","1976","ha","349855","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1976","1976","hg/ha","35815","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1976","1976","tonnes","1253000","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1977","1977","ha","372500","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1977","1977","hg/ha","49208","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1977","1977","tonnes","1833000","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1978","1978","ha","387839","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1978","1978","hg/ha","45586","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1978","1978","tonnes","1768000","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1979","1979","ha","400942","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1979","1979","hg/ha","47787","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1979","1979","tonnes","1916000","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1980","1980","ha","444000","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1980","1980","hg/ha","46505","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1980","1980","tonnes","2064800","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1981","1981","ha","429000","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1981","1981","hg/ha","47711","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1981","1981","tonnes","2046800","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1982","1982","ha","412500","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1982","1982","hg/ha","52793","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1982","1982","tonnes","2177700","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1983","1983","ha","395300","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1983","1983","hg/ha","50359","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1983","1983","tonnes","1990700","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1984","1984","ha","406800","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1984","1984","hg/ha","61794","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1984","1984","tonnes","2513800","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1985","1985","ha","400100","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1985","1985","hg/ha","52382","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1985","1985","tonnes","2095800","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1986","1986","ha","364500","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1986","1986","hg/ha","53630","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1986","1986","tonnes","1954800","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1987","1987","ha","335300","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1987","1987","hg/ha","62863","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1987","1987","tonnes","2107800","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1988","1988","ha","324100","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1988","1988","hg/ha","64110","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1988","1988","tonnes","2077800","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1989","1989","ha","320000","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1989","1989","hg/ha","59963","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1989","1989","tonnes","1918800","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1990","1990","ha","298874","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1990","1990","hg/ha","65774","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1990","1990","tonnes","1965820","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1991","1991","ha","301800","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1991","1991","hg/ha","65210","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1991","1991","tonnes","1968048","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1992","1992","ha","300508","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1992","1992","hg/ha","67412","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1992","1992","tonnes","2025771","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1993","1993","ha","285112","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1993","1993","hg/ha","57281","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1993","1993","tonnes","1633159","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1994","1994","ha","270214","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1994","1994","hg/ha","59883","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1994","1994","tonnes","1618110","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1995","1995","ha","274115","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1995","1995","hg/ha","65787","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1995","1995","tonnes","1803330","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1996","1996","ha","293716","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1996","1996","hg/ha","73220","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1996","1996","tonnes","2150592","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1997","1997","ha","310116","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1997","1997","hg/ha","62971","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1997","1997","tonnes","1952836","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1998","1998","ha","300717","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1998","1998","hg/ha","62366","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1998","1998","tonnes","1875440","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","1999","1999","ha","290017","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","1999","1999","hg/ha","69857","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","1999","1999","tonnes","2025967","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","2000","2000","ha","279318","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","2000","2000","hg/ha","77957","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","2000","2000","tonnes","2177490","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","2001","2001","ha","286118","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","2001","2001","hg/ha","75809","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","2001","2001","tonnes","2169041","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","2002","2002","ha","299519","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","2002","2002","hg/ha","65670","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","2002","2002","tonnes","1966955","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","2003","2003","ha","303119","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","2003","2003","hg/ha","71007","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","2003","2003","tonnes","2152353","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","2004","2004","ha","310418","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","2004","2004","hg/ha","80778","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","2004","2004","tonnes","2507508","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","2005","2005","ha","282115","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","2005","2005","hg/ha","69047","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","2005","2005","tonnes","1947926","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","2006","2006","ha","280012","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","2006","2006","hg/ha","74652","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","2006","2006","tonnes","2090356","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","2007","2007","ha","279109","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","2007","2007","hg/ha","71888","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","2007","2007","tonnes","2006462","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","2008","2008","ha","322307","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","2008","2008","hg/ha","76449","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","2008","2008","tonnes","2463993","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","2009","2009","ha","300004","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","2009","2009","hg/ha","68872","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","2009","2009","tonnes","2066175","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","2010","2010","ha","274102","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","2010","2010","hg/ha","74563","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","2010","2010","tonnes","2043781","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","2011","2011","ha","297600","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","2011","2011","hg/ha","84415","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","2011","2011","tonnes","2512187","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","2012","2012","ha","315595","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","2012","2012","hg/ha","67412","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","2012","2012","tonnes","2127500","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","2013","2013","ha","307995","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","2013","2013","hg/ha","78021","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","2013","2013","tonnes","2403000","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","2014","2014","ha","306894","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","2014","2014","hg/ha","84714","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","2014","2014","tonnes","2599817","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","2015","2015","ha","292594","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","2015","2015","hg/ha","90082","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","2015","2015","tonnes","2635749","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","2016","2016","ha","281290","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","2016","2016","hg/ha","82228","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","2016","2016","tonnes","2312985","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","2017","2017","ha","272627","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","2017","2017","hg/ha","87836","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","2017","2017","tonnes","2394646","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","2018","2018","ha","260970","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","2018","2018","hg/ha","68395","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","2018","2018","tonnes","1784900","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","2019","2019","ha","266660","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","2019","2019","hg/ha","85052","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","2019","2019","tonnes","2267990","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5312","Area harvested","1717","Cereals, Total","2020","2020","ha","265640","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5419","Yield","1717","Cereals, Total","2020","2020","hg/ha","71248","E","Estimated value"
"QCL","Crops and livestock products","104","Ireland","5510","Production","1717","Cereals, Total","2020","2020","tonnes","1892640","E","Estimated value"
